iter	Passed	Remaining
439	1743	2218
440	1756	2226
441	1759	2220
442	1764	2218
443	1767	2212
444	1769	2206
445	1772	2201
446	1775	2195
447	1780	2194
448	1782	2187
449	1784	2181
450	1790	2179
451	1797	2179
452	1800	2173
453	1802	2167
454	1804	2161
455	1807	2156
456	1815	2156
457	1818	2151
458	1820	2145
459	1824	2141
460	1826	2135
461	1830	2131
462	1832	2125
463	1835	2119
464	1837	2113
465	1839	2107
466	1841	2101
467	1847	2100
468	1849	2094
469	1852	2088
470	1854	2083
471	1856	2077
472	1862	2074
473	1864	2068
474	1872	2069
475	1877	2066
476	1879	2061
477	1882	2055
478	1884	2049
479	1886	2043
480	1892	2042
481	1895	2036
482	1897	2031
483	1899	2025
484	1902	2019
485	1904	2014
486	1916	2018
487	1918	2012
488	1920	2007
489	1928	2007
490	1930	2001
491	1933	1995
492	1935	1990
493	1940	1987
494	1942	1981
495	1944	1975
496	1947	1970
497	1949	1964
498	1951	1959
499	1958	1958
500	1960	1953
501	1963	1947
502	1965	1942
503	1971	1939
504	1973	1934
505	1975	1929
506	1978	1923
507	1980	1917
508	1982	1912
509	1988	1910
510	1991	1905
511	1993	1900
512	1995	1894
513	2001	1892
514	2004	1887
515	2006	1882
516	2008	1876
517	2011	1871
518	2013	1865
519	2019	1864
520	2021	1858
521	2024	1853
522	2026	1848
523	2028	1843
524	2034	1840
525	2042	1840
526	2044	1834
527	2055	1837
528	2058	1832
529	2060	1827
530	2066	1825
531	2068	1819
532	2070	1814
533	2074	1810
534	2083	1811
535	2087	1807
536	2090	1802
537	2096	1800
538	2098	1795
539	2101	1789
540	2103	1784
541	2106	1779
542	2113	1778
543	2116	1774
544	2118	1768
545	2120	1763
546	2136	1769
547	2145	1769
548	2147	1764
549	2149	1758
550	2152	1753
551	2155	1749
552	2158	1745
553	2161	1739
554	2163	1734
555	2169	1732
556	2172	1727
557	2175	1722
558	2177	1717
559	2179	1712
560	2189	1713
561	2193	1709
562	2196	1704
563	2201	1701
564	2205	1698
565	2209	1693
566	2213	1690
567	2219	1687
568	2222	1683
569	2224	1678
570	2226	1672
571	2228	1667
572	2238	1668
573	2263	1679
574	2266	1675
575	2270	1671
576	2277	1669
577	2279	1664
578	2281	1659
579	2287	1656
580	2290	1651
581	2292	1646
582	2295	1641
583	2297	1636
584	2305	1635
585	2307	1630
586	2310	1625
587	2312	1620
588	2314	1615
589	2325	1615
590	2327	1610
591	2329	1605
592	2340	1606
593	2342	1600
594	2344	1595
595	2351	1594
596	2355	1590
597	2358	1585
598	2360	1580
599	2366	1577
600	2368	1572
601	2374	1569
602	2378	1565
603	2380	1560
604	2382	1555
605	2384	1550
606	2387	1545
607	2394	1543
608	2399	1540
609	2401	1535
610	2403	1530
611	2416	1532
612	2419	1527
613	2427	1525
614	2429	1520
615	2434	1517
616	2439	1514
617	2443	1510
618	2445	1505
619	2447	1500
620	2450	1495
621	2456	1492
622	2458	1487
623	2461	1483
624	2465	1479
625	2467	1474
626	2470	1469
627	2472	1464
628	2485	1466
629	2488	1461
630	2490	1456
631	2493	1451
632	2501	1450
633	2508	1448
634	2515	1446
635	2518	1441
636	2520	1436
637	2522	1431
638	2529	1429
639	2532	1424
640	2534	1419
641	2547	1420
642	2549	1415
643	2552	1410
644	2554	1406
645	2557	1401
646	2564	1399
647	2567	1394
648	2571	1390
649	2579	1389
650	2583	1384
651	2585	1380
652	2588	1375
653	2596	1373
654	2598	1368
655	2602	1364
656	2608	1361
657	2611	1357
658	2613	1352
659	2616	1347
660	2618	1342
661	2635	1345
662	2643	1343
663	2645	1338
664	2648	1333
665	2650	1329
666	2655	1325
667	2660	1322
668	2662	1317
669	2664	1312
670	2675	1311
671	2677	1306
672	2679	1301
673	2681	1296
674	2683	1291
675	2688	1288
676	2691	1284
677	2694	1279
678	2705	1279
679	2719	1279
680	2723	1275
681	2726	1271
682	2732	1268
683	2734	1263
684	2737	1258
685	2739	1253
686	2741	1249
687	2747	1245
688	2751	1241
689	2753	1237
690	2755	1232
691	2764	1230
692	2767	1226
693	2769	1221
694	2772	1216
695	2777	1213
696	2781	1209
697	2783	1204
698	2786	1199
699	2791	1196
700	2794	1191
701	2796	1187
702	2798	1182
703	2800	1177
704	2811	1176
705	2813	1171
706	2815	1166
707	2818	1162
708	2824	1159
709	2826	1154
710	2828	1149
711	2831	1145
712	2833	1140
713	2840	1137
714	2843	1133
715	2845	1128
716	2848	1124
717	2850	1119
718	2857	1116
719	2860	1112
720	2862	1107
721	2864	1102
722	2870	1099
723	2872	1095
724	2874	1090
725	2877	1085
726	2879	1081
727	2888	1079
728	2891	1074
729	2894	1070
730	2896	1065
731	2904	1063
732	2907	1058
733	2909	1054
734	2911	1049
735	2917	1046
736	2920	1042
737	2923	1037
738	2926	1033
739	2928	1028
740	2935	1025
741	2937	1021
742	2939	1016
743	2941	1012
744	2949	1009
745	2952	1005
746	2954	1000
747	2957	996
748	2965	993
749	2967	989
750	2969	984
751	2971	980
752	2974	975
753	2981	972
754	2984	968
755	2986	963
756	2988	959
757	2996	956
758	3001	953
759	3012	951
760	3014	946
761	3016	942
762	3019	937
763	3026	934
764	3029	930
765	3031	926
766	3035	922
767	3046	920
768	3048	915
769	3050	911
770	3055	907
771	3060	903
772	3062	899
773	3064	894
774	3066	890
775	3074	887
776	3076	883
777	3078	878
778	3081	874
779	3083	869
780	3090	866
781	3093	862
782	3096	858
783	3098	853
784	3108	851
785	3111	847
786	3113	842
787	3123	840
788	3126	836
789	3128	831
790	3130	827
791	3132	822
792	3135	818
793	3141	815
794	3144	810
795	3147	806
796	3149	802
797	3152	797
798	3160	795
799	3162	790
800	3164	786
801	3167	781
802	3180	780
803	3182	775
804	3194	773
805	3197	769
806	3199	765
807	3207	762
808	3222	760
809	3226	756
810	3228	752
811	3230	747
812	3237	744
813	3239	740
814	3241	735
815	3243	731
816	3245	726
817	3247	722
818	3250	718
819	3252	714
820	3255	709
821	3274	709
822	3283	706
823	3285	701
824	3288	697
825	3290	693
826	3300	690
827	3303	686
828	3306	681
829	3314	678
830	3316	674
831	3329	672
832	3332	668
833	3336	664
834	3347	661
835	3349	657
836	3351	652
837	3359	649
838	3361	645
839	3363	640
840	3365	636
841	3368	632
842	3380	629
843	3382	625
844	3384	620
845	3389	617
846	3393	612
847	3396	608
848	3399	604
849	3401	600
850	3403	595
851	3412	592
852	3415	588
853	3417	584
854	3419	579
855	3427	576
856	3429	572
857	3432	568
858	3435	563
859	3447	561
860	3449	556
861	3456	553
862	3459	549
863	3462	544
864	3465	540
865	3473	537
866	3476	533
867	3478	528
868	3480	524
869	3490	521
870	3492	517
871	3495	513
872	3497	508
873	3504	505
874	3506	500
875	3509	496
876	3511	492
877	3513	488
878	3520	484
879	3523	480
880	3525	476
881	3527	471
882	3533	468
883	3537	464
884	3540	460
885	3542	455
886	3544	451
887	3550	447
888	3553	443
889	3555	439
890	3558	435
891	3560	431
892	3564	427
893	3566	422
894	3568	418
895	3570	414
896	3575	410
897	3577	406
898	3595	403
899	3597	399
900	3600	395
901	3611	392
902	3613	388
903	3616	384
904	3620	380
905	3626	376
906	3628	372
907	3631	367
908	3633	363
909	3640	360
910	3647	356
911	3650	352
912	3655	348
913	3659	344
914	3661	340
915	3663	335
916	3666	331
917	3672	328
918	3674	323
919	3676	319
920	3678	315
921	3681	311
922	3686	307
923	3689	303
924	3691	299
925	3694	295
926	3696	291
927	3701	287
928	3704	283
929	3706	279
930	3709	274
931	3711	270
932	3716	266
933	3719	262
934	3721	258
935	3724	254
936	3726	250
937	3738	247
938	3741	243
939	3744	238
940	3752	235
941	3754	231
942	3756	227
943	3759	223
944	3765	219
945	3768	215
946	3770	211
947	3772	206
948	3774	202
949	3781	199
950	3784	194
951	3786	190
952	3788	186
953	3795	182
954	3798	178
955	3800	174
956	3802	170
957	3804	166
958	3812	163
959	3815	158
960	3817	154
961	3819	150
962	3822	146
963	3824	142
964	3826	138
965	3830	134
966	3832	130
967	3838	126
968	3840	122
969	3842	118
970	3845	114
971	3847	110
972	3852	106
973	3855	102
974	3858	98
975	3860	94
976	3862	90
977	3867	87
978	3870	83
979	3872	79
980	3875	75
981	3878	71
982	3883	67
983	3885	63
984	3888	59
985	3890	55
986	3892	51
987	3894	47
988	3900	43
989	3902	39
990	3905	35
991	3907	31
992	3909	27
993	3916	23
994	3918	19
995	3921	15
996	3923	11
997	3925	7
998	3932	3
999	3934	0
